id,title,filtered_words,label
R129,New Report on Election,"[finish, item, front., fine, compare, family, quite, house, floor., experts, discuss, ongoing, developments, election.]",REAL
R227,New Report on Climate Change,"[run, along, energy, congress, too., ask, throw, chair, cell, baby, follow, bring, she., experts, discuss, ongoing, developments, climate, change.]",REAL
F231,Aliens Confirmed by Sources,"[represent, everybody, writer., become, writer., —, shocking, claims, aliens, surface, internet.]",FAKE
R066,New Report on Policy,"[matter, apply, past, rest, situation., road, expect, audience, decide, how., experts, discuss, ongoing, developments, policy.]",REAL
F095,Mind Control Confirmed by Sources,"[white, table, hand, even, read, act., expect, picture, option, development., —, shocking, claims, mind, control, surface, internet.]",FAKE
R174,New Report on Policy,"[court, positive, thank, land, western, personal, always., draw, cost, lot, man, finally., experts, discuss, ongoing, developments, policy.]",REAL
R201,New Report on Public Health,"[television, run, wish, media, year, republican, spend, pay., long, president, recent, environment, cold, daughter., experts, discuss, ongoing, developments, public, health.]",REAL
R072,New Report on Education,"[wish, happen, former, degree, painting., process, artist, born, year, you., experts, discuss, ongoing, developments, education.]",REAL
R064,New Report on Research,"[subject, majority, mention, kitchen, eat., clearly, national, development, left., bill, country, who., experts, discuss, ongoing, developments, research.]",REAL
F037,Miracle Drug Confirmed by Sources,"[student, note, sound, answer., road, build, black, science., important, strong, unit, suddenly., —, shocking, claims, miracle, drug, surface, internet.]",FAKE
R170,New Report on Technology Breakthrough,"[throughout, performance, must, yard, speak, actually., bit, good, economy, voice., choice, city, appear, brother, indicate, a., experts, discuss, ongoing, developments, technology, breakthrough.]",REAL
F110,Celebrity Scandal Confirmed by Sources,"[certainly, final, moment, beautiful, explain, game., investment, send, assume, fine, front., treat, wall, create, clear., —, shocking, claims, celebrity, scandal, surface, internet.]",FAKE
F048,Secret Cure Confirmed by Sources,"[field, ok, push, natural., team, expect, agreement, mention, street, blue, key., book, conference, step, order, movie, take., —, shocking, claims, secret, cure, surface, internet.]",FAKE
F082,Hoax Confirmed by Sources,"[space, plan, particularly, bill, data, answer., night, civil, certainly., table, small, activity, individual, door., —, shocking, claims, hoax, surface, internet.]",FAKE
F187,Miracle Drug Confirmed by Sources,"[little, drop, personal, else., seven, give, energy, firm, beat, true, quickly., —, shocking, claims, miracle, drug, surface, internet.]",FAKE
F027,Miracle Drug Confirmed by Sources,"[determine, successful, southern, young., notice, knowledge, trip, news., man, billion, bit., —, shocking, claims, miracle, drug, surface, internet.]",FAKE
F202,Hoax Confirmed by Sources,"[daughter, item, bad, scientist., occur, almost, doctor, guess, improve, approach., military, whose, spring, trouble., —, shocking, claims, hoax, surface, internet.]",FAKE
F197,Secret Cure Confirmed by Sources,"[trade, civil, soldier, daughter., feel, night, value, character, capital, perform., public, method, strong, game, success., —, shocking, claims, secret, cure, surface, internet.]",FAKE
R128,New Report on Climate Change,"[spend, road, seat., couple, minute, offer, apply, follow, choice., home, international, knowledge, support, scientist., experts, discuss, ongoing, developments, climate, change.]",REAL
F157,Government Cover-Up Confirmed by Sources,"[wonder, candidate, claim., others, hope, one, soldier, agree., —, shocking, claims, government, cover-up, surface, internet.]",FAKE
F117,Hoax Confirmed by Sources,"[heavy, service, allow, full, scene., staff, talk, majority, year, soldier, since, eat, especially., vote, teach, happy, finally, however, control, mind., —, shocking, claims, hoax, surface, internet.]",FAKE
