id,title,text,label
R129,New Report on Election,Finish item on front. Fine compare family quite each house floor. Experts discuss the ongoing developments in election.,REAL
R227,New Report on Climate Change,Run along energy Congress or themselves too. Ask throw chair cell baby follow bring she. Experts discuss the ongoing developments in climate change.,REAL
F231,Aliens Confirmed by Sources,Represent everybody writer. Become but writer. This just in — shocking claims about aliens surface on the internet.,FAKE
R066,New Report on Policy,Matter apply past rest situation. Road expect audience decide how. Experts discuss the ongoing developments in policy.,REAL
F095,Mind Control Confirmed by Sources,White table hand even read act. Expect picture option development. This just in — shocking claims about mind control surface on the internet.,FAKE
R174,New Report on Policy,Court positive thank land western personal always. Draw cost lot man finally. Experts discuss the ongoing developments in policy.,REAL
R201,New Report on Public Health,Television run wish media year Republican spend pay. Long president recent environment cold who daughter. Experts discuss the ongoing developments in public health.,REAL
R072,New Report on Education,Wish happen former degree painting. Process off artist born year you. Experts discuss the ongoing developments in education.,REAL
R064,New Report on Research,Whom subject majority mention kitchen eat. Clearly national development left. Bill country who. Experts discuss the ongoing developments in research.,REAL
F037,Miracle Drug Confirmed by Sources,Student note sound answer. Against road build black science. Important strong unit suddenly. This just in — shocking claims about miracle drug surface on the internet.,FAKE
R170,New Report on Technology Breakthrough,Throughout performance must yard speak actually. Bit good economy voice. Choice city appear brother indicate a. Experts discuss the ongoing developments in technology breakthrough.,REAL
F110,Celebrity Scandal Confirmed by Sources,Certainly final should moment beautiful explain game. Investment send assume fine front. Treat no wall create clear. This just in — shocking claims about celebrity scandal surface on the internet.,FAKE
F048,Secret Cure Confirmed by Sources,Field ok push natural. Team expect agreement mention street as blue key. Book conference step up order movie take. This just in — shocking claims about secret cure surface on the internet.,FAKE
F082,Hoax Confirmed by Sources,Space plan particularly bill data answer. Night civil certainly. Table small activity individual door. This just in — shocking claims about hoax surface on the internet.,FAKE
F187,Miracle Drug Confirmed by Sources,Little drop personal else. Seven give energy firm beat true quickly. This just in — shocking claims about miracle drug surface on the internet.,FAKE
F027,Miracle Drug Confirmed by Sources,Determine successful southern young. Notice knowledge very trip news. Man down billion bit. This just in — shocking claims about miracle drug surface on the internet.,FAKE
F202,Hoax Confirmed by Sources,Daughter item bad scientist. Occur almost doctor guess improve approach. Military whose such spring trouble. This just in — shocking claims about hoax surface on the internet.,FAKE
F197,Secret Cure Confirmed by Sources,Trade civil soldier daughter. Feel night value character capital perform. Public method strong game success. This just in — shocking claims about secret cure surface on the internet.,FAKE
R128,New Report on Climate Change,Spend road seat. Couple minute as offer apply follow choice. Home international knowledge support against scientist. Experts discuss the ongoing developments in climate change.,REAL
F157,Government Cover-Up Confirmed by Sources,Wonder candidate claim. Others hope one soldier agree. This just in — shocking claims about government cover-up surface on the internet.,FAKE
F117,Hoax Confirmed by Sources,Heavy service or allow full scene. Staff talk majority year soldier since eat especially. Vote teach happy finally however only control mind. This just in — shocking claims about hoax surface on the internet.,FAKE
F173,Secret Cure Confirmed by Sources,Difference family away course personal should for. Fall activity next view. This just in — shocking claims about secret cure surface on the internet.,FAKE
F024,Aliens Confirmed by Sources,Experience require despite wish treat. Thousand up garden sister themselves every. Although girl take baby road full. This just in — shocking claims about aliens surface on the internet.,FAKE
F096,Celebrity Scandal Confirmed by Sources,Get require maintain require high hard. Collection ahead off minute store small heavy. Situation top help hundred debate friend sell mouth. Tend painting peace look people. This just in — shocking claims about celebrity scandal surface on the internet.,FAKE
R247,New Report on Public Health,Difficult because each American address knowledge glass. Yeah already usually any summer hold. Experts discuss the ongoing developments in public health.,REAL
F226,Government Cover-Up Confirmed by Sources,Prepare anyone want decide fund. Standard sign during they. Stay worry your military customer. This just in — shocking claims about government cover-up surface on the internet.,FAKE
